,location,latitude,longitude
0,"Funafuti, Tuvalu",-8.52047,179.199585
1,"Cape Town, South Africa",-33.92487,18.424055
2,"Metro Manila, Philippines",14.609054,121.022255
3,"Quezon City, Philippines",14.676041,121.043701
4,"Yaren, Nauru",-0.54752,166.917267
5,"Harare, Zimbabwe",-17.825167,31.03351
6,"Lusaka, Zambia",-15.387526,28.322817
7,"Sana'a, Yemen",15.36198,44.20195
8,"Laayoune, Western Sahara",27.15913,-13.20753
9,"Ho Chi Minh City, Vietnam",10.823099,106.629662
10,"Caracas, Venezuela",10.480594,-66.903603
11,"Vatican City, Vatican City",41.902229,12.4581
12,"Port Vila, Vanuatu",-17.733252,168.327332
13,"Tashkent, Uzbekistan",41.299496,69.240074
14,"Montevideo, Uruguay",-34.901112,-56.164532
15,"New York City, United States of America",40.713051,-74.007233
16,"London, United Kingdom",51.507351,-0.127758
17,"Dubai, United Arab Emirates",25.204849,55.270782
18,"Kyiv, Ukraine",50.447731,30.542721
19,"Kyiv, Ukraine",50.447731,30.542721
20,"Kampala, Uganda",0.347596,32.58252
22,"Ashgabat, Turkmenistan",37.95034,58.39011
23,"Istanbul, Turkey",41.00824,28.978359
24,"Tunis, Tunisia",36.806496,10.181532
25,"Chaguanas, Trinidad and Tobago",10.5132,-61.407848
26,"Nukuʻalofa, Tonga",-21.136009,-175.216431
27,"Lomé, Togo",6.13365,1.22311
28,"Bangkok, Thailand",13.756331,100.501762
29,"Bangkok, Thailand",13.756331,100.501762
30,"Dar es Salaam, Tanzania",-6.792354,39.208328
31,"Dushanbe, Tajikistan",38.557671,68.775917
32,"New Taipei, Taiwan",25.011709,121.465881
33,"Damascus, Syria",33.513805,36.276527
34,"Zürich, Switzerland",47.376888,8.541694
35,"Stockholm, Sweden",59.329323,18.068581
36,"Paramaribo, Suriname",5.852036,-55.203827
37,"Khartoum, Sudan",15.500654,32.559898
38,"Omdurman, Sudan",15.65312,32.481529
39,"Colombo, Sri Lanka",6.927079,79.861244
40,"Madrid, Spain",40.416775,-3.70379
